S,zero_prop,r_complete,r_impute
0.1,0.005,-0.033928344,-0.023178849
0.05,0.04,-0.050679918,-0.110797475
0.02,0.195,-0.07414428,-0.176233984
0.01,0.41,0.096315636,0.04232567
0.005,0.67,0.151517017,0.256254662
0.1,0,-0.009711321,-0.009711321
0.05,0.04,-0.140683461,-0.108309254
0.02,0.21,-0.185206885,-0.191288178
0.01,0.425,-0.18062532,-0.263039507
0.005,0.745,-0.40824829,0.045328401
0.1,0.01,0.035130312,0.048706261
0.05,0.05,-0.030966637,-0.048998558
0.02,0.19,-0.116339752,-0.110241836
0.01,0.445,-0.122259519,-0.077835895
0.005,0.67,0.323136559,0.11187368
0.1,0.005,0.180093383,0.180296443
0.05,0.015,0.216710363,0.217679662
0.02,0.195,0.046783602,0.129857934
0.01,0.43,0.297002924,-0.020964432
0.005,0.695,0.156553141,0.183697555
0.1,0.005,-0.119538552,-0.120315887
0.05,0.05,-0.038219228,-0.061046416
0.02,0.225,-0.063495506,0.039289477
0.01,0.475,-0.259977369,-0.198196077
0.005,0.695,-0.376676874,0.074109814
0.1,0.005,0.020864355,0.019020563
0.05,0.045,0.085844207,0.052393364
0.02,0.18,0.060954559,0.048593493
0.01,0.455,0.314793946,0.432713915
0.005,0.73,-0.096806618,-0.328085775
0.1,0.005,0.003758653,9.36E-04
0.05,0.035,-0.010056581,0.001379994
0.02,0.185,-0.082951737,-0.138692287
0.01,0.445,0.129913527,0.082790634
0.005,0.695,-0.26383812,-0.428186208
0.1,0.01,0.054111121,0.061122384
0.05,0.035,0.105910657,0.112467826
0.02,0.175,0.200734311,4.00E-04
0.01,0.445,0.165859622,0.122657838
0.005,0.74,0.832054243,0.742723352
0.1,0.005,0.079138449,0.082806027
0.05,0.025,0.050967847,0.079615706
0.02,0.215,0.036915166,0.059434827
0.01,0.47,0.009294741,0.034029278
0.005,0.75,0.842725954,0.94830583
0.1,0.01,0.038963076,0.035664012
0.05,0.05,0.116194088,0.127016743
0.02,0.195,-0.08297709,0.074016337
0.01,0.43,-0.122957904,-0.135228668
0.005,0.73,-0.322504981,-0.454493826
0.1,0.01,0.053860812,0.050394889
0.05,0.03,0.092586485,0.076766679
0.02,0.22,0.123928399,0.146216847
0.01,0.42,0.238631696,0.290853772
0.005,0.75,0.034339203,0.051271035
0.1,0.015,0.064993272,0.08485445
0.05,0.07,0.110939809,0.187861553
0.02,0.255,0.003508121,0.070362839
0.01,0.465,-0.26492218,-0.184470513
0.005,0.75,-0.584300846,0.100726167
0.1,0.01,-0.134268155,-0.142163462
0.05,0.03,-0.184377942,-0.202374369
0.02,0.215,-0.007924757,0.077055782
0.01,0.44,0.266523542,0.108078856
0.005,0.695,0.910505624,0.93794405
0.1,0.005,0.016384452,0.017168298
0.05,0.03,-0.01740603,-0.035658173
0.02,0.145,0.055363793,0.029633229
0.01,0.4,-0.171041517,-0.240294153
0.005,0.67,-0.013479561,-0.02376321
0.1,0.005,0.11608618,0.115682768
0.05,0.055,0.084080329,0.100298589
0.02,0.24,0.121286776,0.171788984
0.01,0.465,0.051628463,-0.062950319
0.005,0.74,-0.532547608,-0.148313763
0.1,0.005,0.058707154,0.051403309
0.05,0.035,0.086483493,0.074170872
0.02,0.175,0.095668647,0.022913442
0.01,0.41,0.194594113,-0.129524618
0.005,0.72,0.331941052,-0.370428771
0.1,0.01,0.225143232,0.226835546
0.05,0.04,0.207040136,0.225810841
0.02,0.175,-0.02694952,-0.042343167
0.01,0.41,-0.001870674,0.027086826
0.005,0.675,-0.108922046,0.129109221
0.1,0.015,-0.161321661,-0.172305898
0.05,0.07,-0.113023659,-0.129852507
0.02,0.24,-0.248479154,-0.030942744
0.01,0.485,-0.24169124,-0.153997968
0.005,0.68,-0.253505155,-0.254424621
0.1,0,0.080633201,0.080633201
0.05,0.03,0.090437985,0.09037785
0.02,0.14,-0.078085148,-0.176021961
0.01,0.415,0.184497823,0.158445438
0.005,0.73,-0.132898988,-0.351895981
0.1,0.01,9.45E-04,-0.007437155
0.05,0.04,-0.030566828,-0.002093558
0.02,0.2,-0.015615636,0.024364634
0.01,0.46,0.239427197,-0.154457103
0.005,0.735,0.729071448,0.492539258
0.1,0.01,-0.137999283,-0.129206343
0.05,0.04,-0.161188169,-0.160432771
0.02,0.215,-0.020687895,-0.083852496
0.01,0.405,-0.060891245,-0.085297074
0.005,0.655,-0.555815549,-0.556386553
0.1,0.01,-0.122968274,-0.131582584
0.05,0.06,-0.086626356,-0.075829176
0.02,0.22,-0.118223688,-0.026368342
0.01,0.46,0.039642276,-0.054265027
0.005,0.68,-0.340099702,-0.223206717
0.1,0.01,-0.026567659,-0.020573924
0.05,0.06,-0.027964196,0.003324627
0.02,0.215,-0.234507997,-0.356843905
0.01,0.45,-0.421019722,-0.377123295
0.005,0.73,NA,0.963721846
0.1,0.01,-0.085469502,-0.106198308
0.05,0.04,0.079639181,0.090158689
0.02,0.22,0.339120839,0.150925921
0.01,0.445,0.4199152,0.386279091
0.005,0.72,-0.209328914,-0.247992901
0.1,0,0.093896127,0.093896127
0.05,0.035,-0.020363535,0.010415766
0.02,0.165,-0.15850554,-0.111678595
0.01,0.39,0.146167757,0.141483192
0.005,0.69,-0.279015201,0.046627948
0.1,0.005,0.15980827,0.148131555
0.05,0.03,0.169972471,0.189537572
0.02,0.18,0.150402503,0.104049346
0.01,0.39,0.347679805,0.281045998
0.005,0.625,0.516319087,0.541667184
0.1,0,0.170989298,0.170989298
0.05,0.025,0.235358405,0.202251639
0.02,0.14,0.218533741,0.267012895
0.01,0.395,-0.200406248,-0.231820865
0.005,0.61,-0.086558054,-0.16324522
0.1,0.01,-0.071888524,-0.067570275
0.05,0.05,-0.094810107,-0.118476675
0.02,0.21,-0.143567647,-0.053463965
0.01,0.495,-0.119525967,0.080896751
0.005,0.765,-0.577350269,-0.880321092
0.1,0.01,-0.01272428,-0.045640974
0.05,0.04,-0.017731226,-0.038490699
0.02,0.22,-0.073877348,-0.217664208
0.01,0.435,-0.085901749,-0.267583783
0.005,0.72,-0.415037048,-0.49682657
0.1,0.005,0.099975711,0.082437921
0.05,0.025,0.048133291,0.037047364
0.02,0.215,0.064335184,-0.043624217
0.01,0.415,-0.170752281,-0.076420461
0.005,0.715,-0.413476765,0.338403971
0.1,0,0.108395092,0.108395092
0.05,0.055,0.028442051,-0.017331666
0.02,0.18,0.113325691,-0.043004058
0.01,0.42,0.007691556,-0.066474601
0.005,0.68,0.168393339,-0.188975117
0.1,0,0.189962663,0.189962663
0.05,0.04,0.156215743,0.147767464
0.02,0.22,0.127314891,0.194968083
0.01,0.44,0.083333446,0.23697989
0.005,0.705,0.222588096,0.606145219
0.1,0.01,0.054990821,0.074711285
0.05,0.06,0.164300531,0.158935616
0.02,0.19,0.156092574,0.088623764
0.01,0.4,0.038062516,0.005638345
0.005,0.64,-0.190246564,-0.393790068
0.1,0.015,0.008573234,-4.18E-04
0.05,0.06,-0.100204891,-0.099121686
0.02,0.2,0.129576484,0.063877158
0.01,0.395,-0.094264203,0.178431113
0.005,0.625,-0.164104007,-0.08575041
0.1,0.005,-0.110864322,-0.109873027
0.05,0.04,-0.071923535,-0.10401613
0.02,0.205,-0.143075255,-0.093414793
0.01,0.475,0.040405902,0.080592874
0.005,0.705,0.54124533,-0.196652036
0.1,0,-0.007196641,-0.007196641
0.05,0.045,-0.030415193,-0.021771165
0.02,0.195,0.018868289,1.55E-04
0.01,0.41,0.091790268,0.031673302
0.005,0.71,0.259598732,0.34406725
0.1,0.015,-0.024270998,-0.003745893
0.05,0.04,-0.071221864,-0.092888314
0.02,0.22,0.042964826,-0.103306354
0.01,0.485,0.133033488,0.133760033
0.005,0.74,-0.224170148,-0.127185742
0.1,0,0.112321511,0.112321511
0.05,0.03,0.088104303,0.092200412
0.02,0.225,0.07294,-0.128663363
0.01,0.455,0.005866587,-0.139816341
0.005,0.675,-0.393138828,-0.26786954
0.1,0,0.00839116,0.00839116
0.05,0.035,-4.88E-04,-0.084563408
0.02,0.19,0.023742491,0.029032897
0.01,0.41,-0.139373139,-0.208819776
0.005,0.715,-0.330054937,0.07034744
0.1,0.005,0.025547649,0.037460031
0.05,0.06,-0.024597502,-0.015234644
0.02,0.245,-0.054498148,0.11747107
0.01,0.465,-0.143171367,-0.475707115
0.005,0.715,-0.350185278,0.256217905
0.1,0.005,-0.013339491,-0.017402581
0.05,0.04,0.059704283,0.005737959
0.02,0.185,0.035015435,-0.053625078
0.01,0.48,-0.131280551,-0.003900939
0.005,0.695,-0.131947237,0.05740428
0.1,0.01,-0.068637203,-0.073058023
0.05,0.025,-0.052859131,-0.055168446
0.02,0.235,-0.098091917,-0.130539817
0.01,0.49,0.008577831,0.449275693
0.005,0.775,-0.25,-0.039292692
0.1,0,-0.158735373,-0.158735373
0.05,0.04,-0.135803988,-0.151926021
0.02,0.28,-0.028365743,0.166359014
0.01,0.5,0.147677864,-0.047979611
0.005,0.75,0.612372436,-0.741019956
0.1,0,-0.084841963,-0.084841963
0.05,0.055,-0.119411827,-0.106097569
0.02,0.17,0.023819993,-0.012561329
0.01,0.42,0.099318703,0.239452052
0.005,0.69,-0.409011853,-0.214283246
0.1,0.02,-0.037831308,-0.018729639
0.05,0.075,-0.075813851,-0.126059591
0.02,0.19,-0.276810216,-0.379428552
0.01,0.4,0.141714659,0.204965957
0.005,0.635,0.015137766,-0.049248804
0.1,0.02,-0.015036964,-0.011434872
0.05,0.06,0.003667618,0.004949784
0.02,0.19,-0.097598932,-0.062970807
0.01,0.445,-0.033886354,-0.129459229
0.005,0.665,0.144042846,0.461193868
0.1,0.02,6.77E-04,0.004919593
0.05,0.05,0.007968119,-8.15E-04
0.02,0.195,-0.137782847,-0.112837432
0.01,0.46,-0.191227772,-0.064054493
0.005,0.685,0.200037422,0.100557988
0.1,0.01,-0.039521517,-0.073690847
0.05,0.045,0.016342217,0.001247681
0.02,0.22,-0.11598375,0.016474153
0.01,0.48,0.198878682,0.314121521
0.005,0.75,-0.341972634,-0.358621859
0.1,0.005,0.084722603,0.086125366
0.05,0.05,0.092677331,0.101511376
0.02,0.215,-0.099360461,-0.128772685
0.01,0.475,-0.193839753,-0.16233761
0.005,0.695,NA,-0.266096859
0.1,0.005,-0.158497555,-0.143560946
0.05,0.04,-0.169333917,-0.192247094
0.02,0.15,-0.202648427,-0.17270467
0.01,0.385,-0.017860818,0.089404912
0.005,0.655,-0.204825983,-0.023188137
0.1,0,-0.15593413,-0.15593413
0.05,0.05,-0.06604675,-0.060370995
0.02,0.2,0.026003478,0.103552932
0.01,0.44,-0.175619202,-0.213046831
0.005,0.735,-0.506076702,-0.221179813
0.1,0,0.036352843,0.036352843
0.05,0.04,0.037697901,0.030295754
0.02,0.185,-0.128633173,-0.150372911
0.01,0.42,-0.27960149,-0.161534129
0.005,0.695,-0.526144701,-0.145632652
0.1,0.01,-0.042801423,-0.041566445
0.05,0.045,-0.142930071,-0.157395356
0.02,0.2,-0.136232434,-0.175107353
0.01,0.455,0.111846735,0.213594286
0.005,0.7,0.294639212,-0.114803247
0.1,0.005,-0.047663248,-0.046706023
0.05,0.03,-0.032821797,-0.026260505
0.02,0.2,0.027287037,0.10458449
0.01,0.425,-0.020214757,-0.054992001
0.005,0.69,-0.240192231,-0.091994012
0.1,0,0.08868584,0.08868584
0.05,0.02,0.077888762,0.063144186
0.02,0.23,-0.071909614,-0.027093919
0.01,0.455,-0.128767669,0.109718982
0.005,0.7,0.218908664,0.114911969
0.1,0.01,0.087749539,0.102253949
0.05,0.03,0.060972617,0.031492381
0.02,0.215,0.180393783,0.195904156
0.01,0.445,-0.10738083,0.046570707
0.005,0.695,-0.276921278,-0.292354874
0.1,0.01,-0.074395372,-0.070848993
0.05,0.05,-0.012268793,-0.005120071
0.02,0.255,0.058346909,-0.028744919
0.01,0.475,0.038653642,-0.194299089
0.005,0.76,-0.575606156,-0.493283136
0.1,0.02,-0.086752801,-0.07191152
0.05,0.045,-0.129762789,-0.119013925
0.02,0.195,-0.134795385,-0.119167503
0.01,0.45,-0.035392556,-0.277266672
0.005,0.725,-0.240192231,-0.131324154
0.1,0.015,-0.073861467,-0.100400355
0.05,0.05,-0.050549569,-0.040112221
0.02,0.225,0.143443069,-0.071485706
0.01,0.435,0.0405271,0.029842274
0.005,0.705,-0.126660099,0.144808286
0.1,0.005,0.003238969,0.007630928
0.05,0.04,-0.083123526,-0.034624751
0.02,0.2,-0.234782216,-0.330599472
0.01,0.42,-0.070683892,-0.03124516
0.005,0.655,-0.451509818,-0.185571122
0.1,0.01,0.241685969,0.235718195
0.05,0.055,0.199667357,0.184909697
0.02,0.23,0.051371823,-0.102325196
0.01,0.47,0.162110887,-0.013129186
0.005,0.745,0.420920425,0.509878101
0.1,0.005,0.027966217,0.011878402
0.05,0.04,0.137913779,0.095822879
0.02,0.24,0.141588273,0.186286083
0.01,0.465,-0.001269203,-0.07305354
0.005,0.72,-0.243311777,0.212151259
0.1,0.02,0.177387842,0.157302043
0.05,0.06,0.1406444,0.166425235
0.02,0.2,0.282159385,0.1365422
0.01,0.42,-0.022163168,-0.038611231
0.005,0.7,-0.332727507,-0.20430886
0.1,0.025,0.164611274,0.169220529
0.05,0.065,0.268802847,0.272553054
0.02,0.21,0.102444459,0.098468911
0.01,0.415,0.010223229,-0.09713234
0.005,0.665,0.282219379,0.55486788
0.1,0.02,0.046545067,0.030875939
0.05,0.04,0.032307725,0.045167945
0.02,0.24,0.016421737,-0.128078374
0.01,0.475,0.198351158,0.135865411
0.005,0.74,0.170914574,-0.012263989
0.1,0,0.191519108,0.191519108
0.05,0.045,0.13055718,0.149549303
0.02,0.245,0.117505784,0.095674907
0.01,0.445,0.040178047,-0.11546762
0.005,0.72,-0.248220114,-0.113779694
0.1,0.01,0.071496325,0.121679624
0.05,0.045,0.057128013,0.067686852
0.02,0.205,0.31448561,0.446040769
0.01,0.415,0.16671983,0.406648169
0.005,0.71,0.27793089,0.044023194
0.1,0.015,-0.080992164,-0.086251944
0.05,0.04,-0.062053832,-0.080988988
0.02,0.215,-0.045807792,0.041677053
0.01,0.43,-0.033529662,0.088655192
0.005,0.67,-0.241256193,-0.328621187
0.1,0,-0.06344231,-0.06344231
0.05,0.02,-0.069681226,-0.074114177
0.02,0.17,-0.111914175,-0.052992217
0.01,0.47,-0.063120893,0.072637189
0.005,0.725,-0.349576933,4.62E-04
0.1,0.015,0.09036758,0.083381197
0.05,0.045,0.021893248,0.038762425
0.02,0.19,0.03367153,0.150322434
0.01,0.445,0.121161224,-0.226993733
0.005,0.695,0.094451922,-0.051189589
0.1,0,0.0112124,0.0112124
0.05,0.045,-2.77E-04,0.033291194
0.02,0.19,0.114218925,0.006912517
0.01,0.415,0.268917772,0.071687991
0.005,0.68,0.434012837,0.525258432
0.1,0.005,0.052558588,0.033122358
0.05,0.05,0.143045958,0.074054689
0.02,0.18,0.205050124,0.283190664
0.01,0.385,0.156921561,0.085035193
0.005,0.68,-0.335408272,0.051379323
0.1,0.005,0.060256693,0.052464895
0.05,0.04,0.032647342,0.006347397
0.02,0.175,-0.07254515,-0.116329171
0.01,0.41,0.028391306,0.211398331
0.005,0.665,-0.079976808,-0.022521923
0.1,0.015,0.017312047,0.008154483
0.05,0.055,-0.007335257,-0.03577676
0.02,0.22,-0.071959567,-0.04553072
0.01,0.46,-0.200299397,-0.353229685
0.005,0.705,0.316227766,0.109840989
0.1,0.01,0.118593889,0.109521553
0.05,0.055,0.139336345,0.12047965
0.02,0.235,0.292040595,0.195132301
0.01,0.46,0.041308351,-0.016815144
0.005,0.685,0.032415155,-0.01948963
0.1,0.01,0.105025999,0.098170669
0.05,0.035,0.043898855,0.037238063
0.02,0.2,0.040377941,0.05007182
0.01,0.455,0.075599323,0.156364024
0.005,0.755,0.25973142,0.515333398
0.1,0.02,-0.176853746,-0.204766153
0.05,0.05,-0.202244841,-0.206157886
0.02,0.195,0.011926607,0.063747991
0.01,0.45,-0.140070188,-0.029200873
0.005,0.695,-0.419843231,-0.517917222
0.1,0.005,-0.143090579,-0.145157678
0.05,0.065,-0.107468262,-0.189067228
0.02,0.19,-0.191714092,-0.139314175
0.01,0.395,-0.458124995,-0.181289641
0.005,0.645,-0.176776695,0.40617482
0.1,0,-0.132119137,-0.132119137
0.05,0.06,-0.070914366,-0.061141068
0.02,0.245,0.008651141,-0.118698034
0.01,0.48,-0.196605246,-0.251123586
0.005,0.695,0.037236447,-0.03526492
0.1,0.015,-0.072156422,-0.0656368
0.05,0.055,0.038128468,0.064865926
0.02,0.205,0.019396929,0.036603103
0.01,0.445,-0.16207287,0.003461626
0.005,0.68,0.791274936,0.780608814
0.1,0.005,0.096454967,0.094915423
0.05,0.02,0.092978459,0.100913522
0.02,0.14,0.03308456,0.101408996
0.01,0.36,-0.017996821,0.009742621
0.005,0.685,0.025194077,-0.219464088
0.1,0.005,-0.095488101,-0.099354636
0.05,0.045,0.045370124,0.006454666
0.02,0.195,0.017639093,0.031099476
0.01,0.41,0.290962574,0.349876533
0.005,0.635,0.601925226,0.59804105
0.1,0.01,0.032989263,0.03079399
0.05,0.04,0.06043987,0.08042456
0.02,0.22,-0.086413669,0.032930376
0.01,0.5,0.050331166,0.119688384
0.005,0.69,-0.440396265,-0.247293498
0.1,0,-0.048013304,-0.048013304
0.05,0.04,-0.073128897,-0.081970668
0.02,0.185,-0.054751763,-0.113168432
0.01,0.465,0.150432489,0.138251023
0.005,0.725,0.787691474,0.861252112
0.1,0,-0.061421033,-0.061421033
0.05,0.055,-0.019657734,-0.005916448
0.02,0.24,0.033326651,0.097180122
0.01,0.505,0.03238934,0.211918951
0.005,0.715,0.002315088,-0.132875489
0.1,0.015,-0.125913164,-0.119531286
0.05,0.06,0.034502736,0.04268116
0.02,0.235,-4.97E-04,-0.123255066
0.01,0.485,-0.044786694,-0.327593387
0.005,0.78,-0.40824829,-0.209848965
0.1,0.005,0.091757888,0.089518499
0.05,0.075,0.168120193,0.165379577
0.02,0.265,0.075760562,0.166028847
0.01,0.49,-0.119436878,-0.112587291
0.005,0.73,0.315955586,0.498081358
0.1,0.015,0.117644531,0.11086746
0.05,0.055,0.049849367,0.044798951
0.02,0.245,0.005387216,0.049670066
0.01,0.475,-0.075080424,-0.020555366
0.005,0.695,-0.342576251,0.229761946
0.1,0.005,-0.188063724,-0.187852531
0.05,0.04,-0.078935138,-0.103036422
0.02,0.165,-0.039339928,0.028551165
0.01,0.4,-0.082882617,-0.134352779
0.005,0.62,0.398308369,-0.271513276
0.1,0.01,0.098469962,0.100715293
0.05,0.055,0.038801069,0.029526329
0.02,0.195,-0.089417455,-0.152660693
0.01,0.48,-0.00444518,0.043000419
0.005,0.71,-0.443804643,-0.014619363
0.1,0.015,-0.018395864,-3.29E-04
0.05,0.04,0.003335531,0.034584147
0.02,0.19,0.035892758,0.055765675
0.01,0.425,0.054758975,-0.059011525
0.005,0.68,-0.170378067,0.100767196
0.1,0.015,0.045437256,0.042502873
0.05,0.07,0.154688792,0.161777859
0.02,0.245,-0.022574762,0.10818542
0.01,0.49,-0.022993876,-0.115467469
0.005,0.74,-0.212210761,-0.159529854
0.1,0.005,-0.189619344,-0.184872208
0.05,0.03,-0.219661452,-0.162957956
0.02,0.19,0.212800181,0.325696923
0.01,0.44,-0.02506829,-0.164051728
0.005,0.66,0.254526879,0.436767379
0.1,0.02,0.048458546,0.050386719
0.05,0.06,0.030294928,-0.02302704
0.02,0.24,-0.026120966,-0.069467961
0.01,0.46,-0.077843095,-0.094585774
0.005,0.73,0.13419959,-0.400156102
0.1,0.025,-0.050263854,-0.025056968
0.05,0.075,-0.153478559,-0.198863714
0.02,0.25,-0.124621454,0.032595609
0.01,0.405,0.189819251,0.301600184
0.005,0.715,0.692047779,0.794063944
0.1,0.005,0.032435266,0.027519741
0.05,0.05,0.041418506,0.097366412
0.02,0.24,0.132669719,0.0569414
0.01,0.475,0.08327702,0.116498275
0.005,0.725,0.232860997,-0.049183948
0.1,0.005,-0.007509371,0.017205338
0.05,0.015,0.054946535,0.022485739
0.02,0.165,-0.043350822,-0.008821642
0.01,0.41,0.307036241,0.147261267
0.005,0.685,0.51150803,0.11776782
0.1,0.01,-0.049678808,-0.050405413
0.05,0.05,-0.124560149,-0.168622374
0.02,0.19,-0.250649872,-0.260076556
0.01,0.44,-0.294288753,-0.227124202
0.005,0.7,0.632455532,0.181953328
0.1,0.005,0.097248428,0.075601761
0.05,0.03,0.048651591,0.071037781
0.02,0.215,0.053469021,0.022715592
0.01,0.465,0.021610593,0.005733559
0.005,0.735,0.441382918,0.342211812
0.1,0.005,-0.084537558,-0.131922393
0.05,0.04,-0.144531172,-0.136528648
0.02,0.16,-0.259370412,-0.269499012
0.01,0.455,-0.200070213,-0.301091779
0.005,0.735,-0.417131641,0.020695204
